id,situation,intention,immoral_action,norm,gold_norm
3ZY8KE4ISK1DKJ7ATSZS7QLBWR3QVA1,"Heidi owes Drew two hundred dollars, and she doesn’t have the money.",Heidi wants to continue to have a good relationship with Drew.,Heidi tells Drew she won’t pay him back because he is rich and it is only two hundred dollars.,Its wrong to not pay someone back.,You should pay people back if you owe them money.
3PJUZCGDJ7E9H8UB4XDWTHBECZQ9871,"Jean's friend Marcy had a pet cat who just died, and Marcy is crying while talking to Jean about it.",Jean wants Marcy to feel better.,Jean tells Marcy that there are a million cats in the world and that she can just get another one to feel better.,Its good to help someone who has lost a pet.,You should try to be sympathetic after someone's pet dies.
36H9ULYP63S72ZH7YNAFS363UPNJFY1,George is the leader of a country and at a government meeting.,George wants to decide how to lead his people.,George decides that his people just comply with his every whim.,Its good to lead by example.,People should be able to govern themselves as they choose.
3IO1LGZLKAVMZPSD6QAK97KCM0K8611,"Robert is on vacation and is staying in a hotel that offers many amenities including cable TV channels, a pool, a gym, and beachfront access.",Robert wants to have fun on vacation.,Robert spends the whole vacation watching TV.,Its good to enjoy yourself.,You should not watch tv  too much.
37ZHEEHM6XKJ2S0CDJKGO4CX1EM37R1,Josh is surprised when his daughter tells him she is getting married and asks for his blessing.,Josh wants to respond to his daughters request.,Josh expresses his disapproval of the planned marriage.,Its good to support your children.,It's expected that people will be excited about big announcements.
3KXIR214I5EXYNMA7L842INV36U42A1,Dave has a job interview for an accounting position at a downtown office.,Dave wants to commute to the interview without driving his car.,Dave walks through a muddy forest to reach the office.,Its good to be able to drive.,People are expected to keep their clothing clean.
326O153BMJW2TZHJTG4Y7NQQEJFDEV1,Kyle is about to submit a report to his boss and is unsure if he has covered all the bases.,Kyle wants to get a second opinion of his report.,Kyle asks around to his peers to get feedback on the report.,Its good to ask for feedback from your boss.,Asking a boss for feedback is good.
35DR22AR5EIDH763VWOEI3PL16AX3L1,Debbie's coworker has recently come out as trans and has asked to be called by a name that matches their true gender.,Debbie wants to call her coworker.,Debbie calls her coworker but uses their dead name instead of their new correct name.,Its wrong to call someone by their dead name.,You should call people by their correct or preferred name.
3JW0YLFXRUEVJ531VB3ULHMBR2VWW51,"Harry's puppy finally finished training and is graduating today, which also happens to be his sister's highschool graduation that his whole family will be attending.",Harry wants to attend one of the graduation ceremonies.,Harry skips his sister's highschool graduation ceremony to attend his dog's graduation.,Its good to attend your siblings graduation.,It's expected that you care more for family than pets
3UN61F00HXNWYQ7V0G6F8I1HGPTR5W1,"Leah is a teenager raised in a conservative Christian family who only taught her about abstinence, but she has started dating a boy from her school who she really likes.",Leah wants to become more intimate with her boyfriend.,"Leah just follows her boyfriend's lead, and they secretly have sex without using protection.",Its wrong to not protect yourself from sexual abuse.,It's good to learn about sex when you're old enough.
3IXQG4FA2UWSJ6SI79X6KJ1FI1UB9H1,Chad is in college and lives in an apartment near a bar.,Chad wants to meet more people from his college.,Chad goes to the bar everyday and stays there all night.,Its wrong to be a liar.,You shouldn't go to the bar too often.
3483FV8BEFHBDAQOQ91JZG79ZT362S1,Richard's grandpa has a heart condition and doctor's say he only has weeks to live.,Richard wants to visit someone after work.,Richard decides it will be boring to visit his grandfather and goes to see his girlfriend.,Its good to visit your grandparents.,You should care about dying relatives.
3MX2NQ3YCASGVMT79FC7X0N5EOW5XL1,Mary is taking a crowded bus home from work one day.,Mary wants to answer her phone that's ringing.,Mary picks up her phone and is talking well above normal levels.,Its wrong to be loud on public transportation.,It's good to be polite when using your cell phone.
3HWRJOOET608VO01Q6ZN2MCQD0EES51,Chris is approaching the entrance to his job when he approaches a man with a cardboard sign begging for help.,Chris wants to get to work.,"Chris tells the homeless person to get a job, and is overheard by one of his coworkers approaching the workplace.",Its wrong to be a coworker.,It's good to help out homeless people.
3J2UYBXQQMA4H0NABMX5GSEU3XY60S1,Jerry is headed out the door to work one morning when he remembers it's garbage day.,Jerry wants to get to work quickly.,"Jerry leaves the garbage behind as he rushes to his car, assuming that his wife will take care of it.",Its wrong to leave things behind.,It's good to take the trash out for others.
3DYGAII7PM60FZAE7GQT1YWT9HPPQ21,"Larry works in HR and has been tasked with dealing with John, a supervisor who has been accused of sexual misconduct by many women in their workplace.",Larry wants to discipline John for his behavior.,Larry gives John a warning and sends him on his way.,Its wrong to not take responsibility for someones actions.,Anyone that is worthy of being fired should be.
3GD6L00D3TV6DSTKUL8MJTUQWH6M1Q1,"Stan and Pam have been together for a year and their anniversary is tonight, but Stan has a chance to meet with a high end client.",Stan wants to meet with the client.,"Stan gets out of the anniversary dinner by pretending that he's got the flu, and is able to meet with the client.",Its wrong to lie about your illness.,It's expected that you'll spend time with your girlfriend.
345LHZDEDYQL03C8QRDRYWQH7O23U81,"John is hanging out by his pool with his children who are playing in the water, when the phone rings.",John wants to answer the phone.,John runs inside to answer the phone.,Its good to be around your children.,You should never leave children alone in a pool unsupervised.
3B1NLC6UG0U92AG04KLH7KSR3I3PG61,Roger is going to his bank to deposit money.,Rodger wants to get in and out quickly.,Roger sees an acquaintance grab money from behind the counter when the teller isn’t looking.,Its wrong to steal money from people.,It's expected that you report illegal activity to the police.
3KYQYYSHYW5O5QU8NU7UCZK4HY4DO71,Nicole is visiting a friend who just got dumped by her boyfriend.,Nicole wants to hear the details of the break up.,Nicole consistently asks her friend detailed questions about the breakup even when her friend doesn't wish to continue.,Its wrong to ask someone to talk about their break up.,You should try to cheery people up who are down.
3BXQMRHWK0WMMPKIW9I6UVZN795MUH1,Sally is having a birthday party and is opening presents in front of her friend Sam.,Sam wants to play with one of Sally's presents.,Sam takes the present without asking and runs off to play with it.,Its rude to take someones present without asking.,You should be nice to people in their birthday.
3F6HPJW4JEY97P5UHRENXA6MM0BW271,Jim is hanging out with a group of friends having a good time.,Jim wants to tell a joke.,Jim makes a very insensitive joke about people with Autism.,Its wrong to make jokes about people with Autism.,It's mean to make jokes about disabled people.
3A7Y0R2P2PMO2L8SYHG1YA6AYSXJXZ1,Felicia notices her son Davis pushing his brother Derrick down onto the ground.,Felicia wants to decide how to handle the situation.,"Thinking that Davis is just playing around, Felicia does nothing.",Its good to help your children.,You should ground children that break the rules.
3R2UR8A0IBE23WZPEU8666NWY6FOX01,Samuel and his wealthy significant other have become very close lately.,Samuel wants to propose to his significant other.,Samuel proposes because he wants a chunk of his significant other's wealth.,Its wrong to want to take advantage of your significant other.,An engagement should be about more than a material thing.
3TY7ZAOG5GIBGF8ZDQR6QBJC405K0E1,Pete is getting ready to go home when his friend Kyle texts him to say that he needs a ride home from work.,Pete wants to go home.,"Pete texts Kyle and tells him he can't pick him up, then drives straight home.",Its good to help out your friends.,It's normal to do favors for your friends.
33L7PJKHCHWS1N3P23IDKHCQ5DVT861,Tom brings home a big steak that his children are curious about.,Tom wants to tell his children about the steak.,Tom says that steak is only for adults.,Its good to tell your children about things theyre interested in.,You should share food with your children.
358UUM7WR01BLULEO9LC62FD65JR7P1,"Omar is at a cafe and having just ordered a coffee that the cashier left to go make, he notices some delicious looking donuts on the counter.",Omar wants some donuts.,Omar takes a couple of donuts and puts them in his backpack without paying for them.,Its wrong to steal from a business.,It's wrong to steal donuts.
3Y54SXRO1MJQZKA256JIG9UF1WZUTI1,Jim sees a strange black man in his neighborhood.,Jim wants to feel safe.,Jim follows the man around the neighborhood with his phone set to dial 911.,Its wrong to follow someone who is black.,You shouldn't stalk someone based on their race.
3MHW492WW1BMZ49I1ZSBQH16M8BMVO1,Luke is a fifth-grader with a big crush on his class' prettiest girl.,Luke wants his crush to notice him.,"At recess, Luke approaches his crush and suddenly yanks her hair.",Its wrong to yank someones hair.,It's unexpected that you'll yank someone's hair.
3HWRJOOET608VO01Q6ZN2MCQDBFESS1,Bill is out on a first date with a woman named Sally who asks Bill to tell her more about himself.,Bill wants Sally to know more about him.,Bill tells Sally in great detail about his masturbation habits.,Its wrong to lie about your sexual activities.,It's weird to tell about people about your masturbatory habits.
3OWEPKL08AAQ6WTMV24VXIA36GL7NP1,It was almost bedtime and Vicki's children were still playing with their toys.,Vicki wants her kids to go to sleep.,Vicki takes the toys away from the children and throws them in the trash.,Its good to give your children toys.,It's nice to tell your kids bedtime stories.
3EQHHY4HQTQ590YHK5C39ENACTZ5GJ1,James is a drug dealer who sells marijuana and cocaine.,James wants to hide his drugs from the cops.,James hides his marijuana in his cats' balls and stuffed toys.,Its wrong to hide drugs in your pets.,You shouldn't use your cats to cover your drug dealing.
3PS7W85Z800SFSMZ7VORKD71P2O9TO1,"Rebecca has finished her classwork, and she misses her friends.",Rebecca wants to do something fun.,Rebecca spends her time playing her favorite game on her mobile phone.,Its good to spend time with your friends.,It's good to watch movies with your friends.
3RRCEFRB7NARM0M6QE1F3BQZXI94BQ1,Jim is on an airplane flight home and the passenger next to him is snoring which really bothers Jim.,Jim wants to stop hearing the passenger snoring.,Jim yells at the snoring passenger waking them up and tells them to shut up in a harsh tone.,Its rude to yell at people.,It's bad to be rude to someone on a plane.
3RYC5T2D74R0R0PEKVFT6O6Y447PRK1,Joey is a closeted homosexual man having his parents over for dinner.,Joey wants to talk with his parents.,"Joey decides to continue keeping his sexual orientation secret, instead talking with his parents about how the workday went.",Its good to open up to your parents.,It's commendable to have frank discussions about human sexuality.
39OWYR0EPLPXXOC6KNBI2QLR79JYFQ1,"Yvette is a biology major who has been invited to breakfast by her sorority sisters, but the timing interferes with her class schedule.",Yvette wants to go out with her sorority sisters.,"Yvette goes out with her sorority sisters, but her biology class is halfway through by the time she arrives from breakfast.",Its good to go out with your sorority sisters.,It's bad to miss half the class.
34J10VATJGW8YDNAUL09S1VHOTPIQV1,Mr. Anderson is teaching a Geometry class when some students in the back began having a side conversation.,Mr. Anderson wants to respond to the misbehavior.,Mr. Anderson quietly asks the whole class to please listen to the lesson and then goes back to writing on the board.,Its good to be polite to your students.,Teacher are expected to maintain order in their classrooms.
3OXV7EAXLFO0YSM7U9FOIQC15RT63X1,Pat is sitting with his work group who are brainstorming ideas for their project.,Pat wants to avoid thinking too hard for the sake of the project.,Pat sits back and lets the others come up with the ideas.,Its good to be involved in your work group.,It's good to contribute ideas to a group project
3K4J6M3CXFR2F6AYF13KHP3W5DUGA71,Karen and Larry are shopping at the store for toiletries when they come to the toilet paper section.,Karen wants to pick a toilet paper to buy.,Karen grabs the single ply toilet paper because it's by far the cheaper option.,Its wrong to buy cheap toilet paper.,It's unusual to like single ply toilet paper.
3MAOD8E57R8KLBZDDF8TRHNR80ANXS1,"Social distancing measures are recommended due to a pandemic, which John is unknowingly carrying, and he sees his parents for the first time in months while wearing a face mask.",John wants to greet his parents.,"John runs up and gives his parents a big hug, stripping his mask off to give them each a kiss on the cheek.",Its wrong to kiss your parents while wearing a face mask.,It is common to worry about older family members
3LO69W1SU4BJBP12CSSAQ3J7ZO2GLW1,"Eddy, a professional cook, has been invited  by his father to participate in his family's cooking race.",Eddy wants to create a fair competition.,Eddy declines his father's suggesting opting to be a judge instead.,Its good to be a part of family events.,It's good to compete against your family in a contest.
3YMU66OBIO6HPTICL7DCYBQ0JZSHGA1,"Julie just came down with the flu, but she had plans to go have dinner with her fiancee', Sean, and is very hungry.",Julie wants to eat with Sean.,Julie decides to go grab food with Sean regardless of her illness.,Its good to be honest with your partner.,You should stay in bed and rest if you're ill.
39N5ACM9HFLUN0TSQEF7F364ZDA9PH1,Casey is in his art store that sells expensive sculptures when his aunt comes in.,Casey wants to try to sell a sculpture to his Aunt.,Casey offers to sell his aunt a sculpture and quotes her the listed price.,Its wrong to try to sell your aunt something for a low price.,You should lower the price for your family members.
3L0KT67Y8FE61THSQ7BH9P46WRLSYV1,Nina just found out that a college she is considering is have open house on the same day as her good friend's wedding.,Nina wants to get a tour of the college.,Nina decides to skip the wedding and go to the open house instead.,Its good to attend your friends wedding.,You should be there for your friend at their wedding.
3OCHAWUVGPIJD5EAG2GDZP6NEWTKXQ1,Jorge has gambling debts to the casino but just got some money and is on his way to the casino.,Jorge wants to continue to be able to gamble.,Jorge walks in and begins to bet the money he brought with him on the tables.,Its wrong to gamble without permission.,You should pay back money you owe.
32XVDSJFP0VD2DBGDP80OC4VQNV2M01,"Craig has a conference he needs to attend for work that is very important, and he can get to a number of ways.",Craig wants to choose a route to go to the conference.,Craig takes a route that is longer.,Its good to travel light.,It's good to arrive at an event early.
3GU1KF0O4JZDBT8POYT3691UP84PBQ1,Mike hit on his friend's new girlfriend the night before and is having lunch with his friend.,Mike wants to dispel the tension between the two of them.,Mike cracks a tasteless joke about his friend's girlfriend.,Its wrong to make fun of someones girlfriend.,You should always say sorry to your friends.
33FOTY3KENJT46HTHWE8GXPE4GP1C21,Andrew lost his wife of ten years recently and has been very depressed.,Andrew wants to process his grief.,Andrew spends all his time in his bedroom obsessing over his wife's death.,Its good to be able to talk to people.,It's understandable to want to leave your bedroom.
37TRT2X24RPHPI5RTLOJ9DFIEE3BJP1,Sally has been going out with her boyfriend for 6 months and is having a date at his house.,Sally wants to have a good night with her boyfriend.,"Sally enjoys her date night, has sex with her boyfriend leading to her having a baby 9 months later.",Its wrong to have sex with your partner.,You shouldn't have a baby until you're old enough.
3TK8OJTYM2JSK76VTFK37LV1RRJVPI1,Boris is watching his friend's children scared to jump into the pool.,Boris wants the kids to have fun.,Boris pushes the kids into the pool while making silly monster sounds.,Its wrong to push children into the pool.,It's inexcusable to throw someone's children into bodies of water.
38SKSKU7R2VX7G7X2GSDBFWNFLOLIS1,"Tate is at the beach with his family, and they have a lot of trash with them.",Tate has to figure out what to do with their trash.,Tate throws the trash in the ocean while the lifeguard isn't watching.,Its wrong to throw trash in the ocean.,It's good to pick up trash.
31QNSG6A5SR53P6IP0FCFLK8GM578L1,"Gale has just returned from a week long backpacking trip, and he is about to go on a date.",Gale wants to prepare for his date.,Gale gets dressed in a simple outfit before meeting his date early at the bar.,Its good to dress up for your date.,It’s unhealthy to go too long without showering.
33FOTY3KENJT46HTHWE8GXPE3LE1C01,Joe was camping in Montana with his band when he came across a black bear.,Joe wanted to scare away the black bear.,Joe grabbed his guitarist's guitar and hit the bear with it.,Its wrong to hurt animals.,It's mean to hit a bear with a guitar.
3F1567XTNX3FNCU7QRUWF8WE4ZWQ951,Hector has an employee that has been calling off from work bacause of a chronic health condition.,Hector needs someone who can work reliably.,Hector gets frustrated when his employee calls out again and threatens to fire him.,Its wrong to threaten to fire someone.,You should be patient with people who have health concerns
3Q5ZZ9ZEVPDQGLSZ170FH16CPAZ58H1,Jason's sister Georgia is a meek but very talented freelance designer who has trouble asserting herself.,Jason wants Georgia to design a logo for him.,Jason asks Georgia to design the logo for him for free since he's family.,Its good to pay someone to design a logo for you.,It is mean to take advantage of other people.
31HQ4X3T3T8M1UAT7SMRFH2AMK8LS21,Meredith has been considering leaving her husband but is conflicted.,Meredith wants to vent her feelings through writing.,Meredith uses a shared family notebook to journal about her feelings regarding her marriage.,Its wrong to not be able to communicate with your partner.,It's good to write privately about very personal feelings.
31LM9EDVOMQJQRUOWBTS08FCV24JN71,Tom is walking down the sidewalk when he sees a homeless man with a can of money nearby for donations.,Tom wants to react to the homeless man.,Tom tells the homeless person to get a job and to stop wasting space.,Its good to help people in need.,You should be compassionate towards people who are homeless.
33IZTU6J82ZH1ORILBPFQBXXUSOXS51,Dale is a teacher writing a lesson on the board when a spitball hits his head from one of the children.,Dale wants to address what happened.,Dale says the spitball was a funny prank.,Its wrong to be a prankster.,You should discipline students for their horrible behavior.
3U0SRXB7CE30OFD14G212Z1367IRN41,Dave joined a soccer team and was excited to play and score goals.,Dave wanted to impress the team.,Dave hogs the ball and scores 6 goals by himself to prove he's worthy of the team.,Its good to score goals for others.,It's good to be a team player when playing soccer.
3E337GFOLA69ZP4NO58P3VNW4AUGN81,John drives a long-haul semi truck and is going through an ice storm when he sees a stranded motorist waving him down.,John wants to react to the motorist waving.,"John blows his horn a few times, smiles, and waves back at the motorist as he drives by.",Its rude to wave back at someone.,Leaving someone stranded in an ice storm can cause hypothermia.
3C5W7UE9CGOE3TED1ETTE2YR1CGXMK1,James is a passionate Donald Trump supporter in a state that votes by mail.,James wants to have a disproportionate impact on the election.,"James takes his neighbors' ballots out of their mailboxes, votes for Donald Trump, and mails them in.",Its wrong to steal peoples ballots.,It's illegal to use the USPS to commit a crime
3FQ5JJ512MME1B06EWT41NFPCK4NKY1,"Jeffrey meets up with a group of friends, including Kevin, to let them know he's transitioning into a woman.",Kevin wants to learn more about Jeffrey's motivation.,Kevin curls his lip and asks if this means he's turning into some kind of faggot.,Its wrong to be sexist.,You should approach sensitive topics gently.
3UN61F00HXNWYQ7V0G6F8I1HGX25RZ1,"Victoria is at a formal dinner and does not know all the customs, and it is making her anxious.",Victoria wants to relieve her anxiety.,Victoria has a small meltdown over the stress and runs from the dinner.,Its good to be able to handle a situation.,It is alright to not know how to act.
338JKRMM27XGF259Z7L22PFXJKTAHZ1,Matt sees his friend Ed in a fight with a big guy at the nearby park.,Matt wants to avoid injury.,Matt decides that he's no match for the guy and walks away unnoticed.,Its good to help out your friends.,It's expected that you will stand up for a friend.
3YDGXNSEO0S8K2OZN2H5C90YOUZ8451,"Chris's dog has been limping quite a while, clearly in pain.",Chris wants to help his dog out.,"Chris watches a youtube video on how to set an animal's leg, and tries to do it.",Its wrong to set animals legs.,It's good to take your pets to the vet.
3DL65MZB8EDSO7B5TK9NNH88TOMECP1,"James was recently promoted to manager, and he was handing out paychecks for the first time.",James wants to finish handing out the checks.,James just hands out the checks quickly because people want their money.,Its good to be courteous to your coworkers.,You should thank your employee when you pay them.
3YHH42UU5CDM0LQHYQ375BWRSJ90LX1,Ben's wife Melanie has her birthday on Saturday.,Ben wants to spend a lazy Saturday in bed.,Ben sleeps in all day long and doesn't talk to his wife.,Its good to spend time with your partner.,You should always make your partner's birthday special.
3N8OEVH1FSOF9NLXD3LANTW3KSTOOS1,"Jake is meeting his friend's father, Mike,  who is a veteran but struggling mentally and physically.",Jake wants to know about the veteran's story.,Jake talks with Mike and tells him he got what he deserved for murdering people.,Its wrong to judge people based on their actions.,It is expected that people show appreciation to veterans
3180JW2OT5AF02OISBX66RFQ549J5X1,Ashley has the whole weekend off from work and has nothing planned yet.,Ashley wants to see a new movie.,Ashley buys one movie ticket and proceeds to see the movie by herself.,Its good to go out with friends.,It is more fun to attend the movies with others.
3JPSL1DZ5TX8PYRK25GF79CT6TSNA61,"After a long late check in, Charles has just wheeled his suitcase into his hotel room in Las Vegas.",Charles wants to go to sleep.,"Charles get into his pajamas, pulls back the cover and crawls into bed.",Its wrong to sleep in your pajamas.,It's wise to check a hotel bed for bed bugs.
3VJ40NV2QJLVMFQ59K79H32QJ8GOT01,Susie is invited to a school dance by one of her classmates.,Susie wants to attend the dance.,Susie wears a bikini to the school dance.,Its wrong to wear a bikini to a school dance.,You should always obey the dress code of a dance.
3P4MQ7TPPYAB7Z7F5TB2BPW56POBBU1,Ace is on a news program in an interview when he is asked about a very sensitive political issue.,Ace wants to respond to the interviewer.,Ace takes a side on the political issue and tells interviewer his answer.,Its wrong to take sides on political issues.,You don't always have to comment about things.
3U0SRXB7CE30OFD14G212Z1357SNR91,Jeff owns a truck that he loves but doesn't like paying insurance on it.,Jeff wants to save his money.,Jeff ignores his auto insurance bill.,Its good to pay for your own car.,You should always have auto insurance when you drive.
3GDTJDAPVV9OOSD5T6H1Y3HYAMY8MG1,"Clay and his friend Jack are at a party where Jack drinks too much and gets drunk, but Clay remains sober.",Clay wants to leave the party.,Clay tells Jack and the others at the party he will be leaving and to have a great night.,Its wrong to be a drunk.,It's kind to offer your friends a ride home.
3NOKK93PR267L5VJPBFID58BE6IEED1,Maurice is a cop who is investigating a shooting that resulted in woman named Shauna getting severely injured.,Maurice wants to make an arrest.,"Maurice can't find the shooter, so he plants a gun on an innocent man and arrests him for the crime.",Its wrong to use violence against innocent people.,It's expected that most police officers will be good people.
3RU7GD8VPPRCSFPRZKFYWYBUQA9PSZ1,Wesley's Dog is scratching itself relentlessly.,Wesley wants the dog to stop itching itself.,Wesley hits the dog every time it scratches itself.,Its wrong to hurt your pets.,It is good to treat your dog for fleas.
3ND9UOO81L0F8BR2RXWSC65VT62WL91,"Jill is watching her favorite team play a big game, and her friend Paul has called her to ask for a ride because his car broke down.",Jill wants to follow her favorite team.,"Jill tells Paul to call someone else, so she can keep watching the game.",Its good to help out friends.,It's considerate to go pick up a friend.
3DY4FPOOA2MDWKMA67OSCGVGS9XVR01,"Blackwell hates the smell of cooked pepers, and he notices Amanda about to cook them.",Blackwell wants to escape the smell.,Blackwell demands that Amanda cook something else as he tosses the peppers in the trash.,Its wrong to demand that someone else cook something.,Putting restrictions on what a roommate can cook is dramatic.
3GU1KF0O4JZDBT8POYT3691UNXKPBI1,"Emily wanted a to get a job, but she didn't want to work that hard for one.",Emily wanted a high paying job.,Emily applies to high paying jobs without having a degree or being in college.,Its good to have a college degree.,It's respectable to pursue higher education.
3ERET4BTVN7TC9WCDMAZJMK57CMK9T1,Mason was arguing with Jenson at a bar one night.,Mason wants Jenson to leave him alone.,Mason hits Jenson in the head several times with a glass bottle.,Its wrong to hit people with objects.,It's illegal to kill another human being.
33PPO7FECWDE94J5PZUPS2OI5LYID21,Best friends Sora and Kairi have been invited to an out-of-state party.,Sora wants to attend the party with Kairi.,"After being at the party for a while, Sora decides it's time to go while Kairi wants to stay, so Sora leaves without her at the end of the night.",Its good to invite your friends to a party.,It's responsible to make sure everyone arrives back home safely.
33M4IA01QHZ509R56MPA01S18QJXRV1,Bryan goes to the bar by himself and starts to feel like he needs some company.,Bryan wants to find someone to spend the evening with.,"Bryan finds a lonely-looking girl and asks her back to his house for the night, only to blow her off in the morning to find someone else next weekend.",Its wrong to betray your friends.,You shouldn't sleep with different people every week.
3S4AW7T80CG3Z98IHRQ9HEM4A6Q4L51,"Roy, who lives with a roommate, is an avid beer drinker and has just bought a huge case of beer.",Roy wants to drink some of the beer.,Roy drinks the beer alone as he is relaxing at home.,Its good to share with your roommate.,It's nice to invite people over for a beer.
3K5TEWLKGW903LJRGKUJYOUP47SIVK1,Nina is roommates with Jessie and is a pretty heavy smoker.,Nina wants to smoke a cigarette.,Nina lights up her cigarettes right in the apartment living room.,Its bad to smoke in your roommates living room.,It's good to only smoke where it doesn't bother others.
3E4GGUZ1T9PICPBDSDVK9ZCR1Y5K2E1,Sandra is riding a bus back home and overhears some passengers quietly talking about issues with their boyfriends.,Sandra wants to be entertained on the way home.,"Sandra starts talking to the other passenger, gives them advice about their boyfriends, and talks about her own experience.",Its wrong to talk about your own problems.,It's expected that you mind your own business.
3WEV0KO0ONQ33IM1UBO3W4U5ET5DSE1,Hillary is laying in bed trying to go to sleep but can't because of the neighbor's dog barking.,Hillary wants to quieten the dog.,Hillary pulls out her pistol from the nightstand and goes outside and shoots the noisy dog.,Its wrong to shoot a neighbor.,It's is illegal to cruelly kill animals.
